Actual,Predicted
0.0,0.039917156
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.044025846
0.0,0.056200653
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
1.0,0.29031804
0.0,0.011365154
1.0,0.5530376
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011461585
0.0,0.011365154
0.0,0.011365154
0.0,0.013326697
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.044766672
0.0,0.011365154
0.0,0.41606784
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
1.0,0.69079685
0.0,0.011365154
0.0,0.6429254
0.0,0.011365154
0.0,0.011365154
1.0,0.45033312
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.022884268
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.7231475
0.0,0.011365154
0.0,0.041721407
0.0,0.011365154
0.0,0.011365154
0.0,0.07844966
0.0,0.011365154
0.0,0.011365154
0.0,0.010309584
0.0,0.011365154
0.0,0.036941636
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.035855215
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
1.0,0.7994927
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.10188725
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.6181092
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.011365154
0.0,0.11680527
0.0,0.011365154
0.0,0.011365154
